rand(0x7ffe38370de0, 41, 40, 0x5621089bedd8)                      = 0x6b8b4567
rand(0x7fe0d511c860, 0x7ffe38370d14, 19, 0x7ffe38370d60)          = 0x1f16e9e8
rand(0x7fe0d511c860, 0x7ffe38370d14, 18, 0x7ffe38370d60)          = 0x1190cde7
rand(0x7fe0d511c860, 0x7ffe38370d14, 17, 0x7ffe38370d60)          = 0x66ef438d
rand(0x7fe0d511c860, 0x7ffe38370d14, 16, 0x7ffe38370d60)          = 0x140e0f76
rand(0x7fe0d511c860, 0x7ffe38370d14, 15, 0x7ffe38370d60)          = 0x3352255a
rand(0x7fe0d511c860, 0x7ffe38370d14, 14, 0x7ffe38370d60)          = 0x109cf92e
rand(0x7fe0d511c860, 0x7ffe38370d14, 13, 0x7ffe38370d60)          = 0xded7263
rand(0x7fe0d511c860, 0x7ffe38370d14, 12, 0x7ffe38370d60)          = 0x7fdcc233
rand(0x7fe0d511c860, 0x7ffe38370d14, 11, 0x7ffe38370d60)          = 0x1befd79f
rand(0x7fe0d511c860, 0x7ffe38370d14, 10, 0x7ffe38370d60)          = 0x41a7c4c9
rand(0x7fe0d511c860, 0x7ffe38370d14, 9, 0x7ffe38370d60)           = 0x6b68079a
rand(0x7fe0d511c860, 0x7ffe38370d14, 8, 0x7ffe38370d60)           = 0x4e6afb66
rand(0x7fe0d511c860, 0x7ffe38370d14, 7, 0x7ffe38370d60)           = 0x25e45d32
rand(0x7fe0d511c860, 0x7ffe38370d14, 6, 0x7ffe38370d60)           = 0x519b500d
rand(0x7fe0d511c860, 0x7ffe38370d14, 5, 0x7ffe38370d60)           = 0x431bd7b7
rand(0x7fe0d511c860, 0x7ffe38370d14, 4, 0x7ffe38370d60)           = 0x3f2dba31
rand(0x7fe0d511c860, 0x7ffe38370d14, 3, 0x7ffe38370d60)           = 0x7c83e458
rand(0x7fe0d511c860, 0x7ffe38370d14, 2, 0x7ffe38370d60)           = 0x257130a3
rand(0x7fe0d511c860, 0x7ffe38370d14, 1, 0x7ffe38370d60)           = 0x62bbd95a
rand(0x7fe0d511c860, 0x7ffe38370d14, 0, 0x7ffe38370d60)           = 0x436c6125
rand(0x7ffe38370e10, 41, 40, 0x7ffe38370d60)                      = 0x628c895d
rand(0x7fe0d511c860, 0x7ffe38370d14, 39, 0x7ffe38370d60)          = 0x333ab105
rand(0x7fe0d511c860, 0x7ffe38370d14, 38, 0x7ffe38370d60)          = 0x721da317
rand(0x7fe0d511c860, 0x7ffe38370d14, 37, 0x7ffe38370d60)          = 0x2443a858
rand(0x7fe0d511c860, 0x7ffe38370d14, 36, 0x7ffe38370d60)          = 0x2d1d5ae9
rand(0x7fe0d511c860, 0x7ffe38370d14, 35, 0x7ffe38370d60)          = 0x6763845e
rand(0x7fe0d511c860, 0x7ffe38370d14, 34, 0x7ffe38370d60)          = 0x75a2a8d4
rand(0x7fe0d511c860, 0x7ffe38370d14, 33, 0x7ffe38370d60)          = 0x8edbdab
rand(0x7fe0d511c860, 0x7ffe38370d14, 32, 0x7ffe38370d60)          = 0x79838cb2
rand(0x7fe0d511c860, 0x7ffe38370d14, 31, 0x7ffe38370d60)          = 0x4353d0cd
rand(0x7fe0d511c860, 0x7ffe38370d14, 30, 0x7ffe38370d60)          = 0xb03e0c6
rand(0x7fe0d511c860, 0x7ffe38370d14, 29, 0x7ffe38370d60)          = 0x189a769b
rand(0x7fe0d511c860, 0x7ffe38370d14, 28, 0x7ffe38370d60)          = 0x54e49eb4
rand(0x7fe0d511c860, 0x7ffe38370d14, 27, 0x7ffe38370d60)          = 0x71f32454
rand(0x7fe0d511c860, 0x7ffe38370d14, 26, 0x7ffe38370d60)          = 0x2ca88611
rand(0x7fe0d511c860, 0x7ffe38370d14, 25, 0x7ffe38370d60)          = 0x836c40e
rand(0x7fe0d511c860, 0x7ffe38370d14, 24, 0x7ffe38370d60)          = 0x2901d82
rand(0x7fe0d511c860, 0x7ffe38370d14, 23, 0x7ffe38370d60)          = 0x3a95f874
rand(0x7fe0d511c860, 0x7ffe38370d14, 22, 0x7ffe38370d60)          = 0x8138641
rand(0x7fe0d511c860, 0x7ffe38370d14, 21, 0x7ffe38370d60)          = 0x1e7ff521
rand(0x7fe0d511c860, 0x7ffe38370d14, 20, 0x7ffe38370d60)          = 0x7c3dbd3d
rand(0x7fe0d511c860, 0x7ffe38370d14, 19, 0x7ffe38370d60)          = 0x737b8ddc
rand(0x7fe0d511c860, 0x7ffe38370d14, 18, 0x7ffe38370d60)          = 0x6ceaf087
rand(0x7fe0d511c860, 0x7ffe38370d14, 17, 0x7ffe38370d60)          = 0x22221a70
rand(0x7fe0d511c860, 0x7ffe38370d14, 16, 0x7ffe38370d60)          = 0x4516dde9
rand(0x7fe0d511c860, 0x7ffe38370d14, 15, 0x7ffe38370d60)          = 0x3006c83e
rand(0x7fe0d511c860, 0x7ffe38370d14, 14, 0x7ffe38370d60)          = 0x614fd4a1
rand(0x7fe0d511c860, 0x7ffe38370d14, 13, 0x7ffe38370d60)          = 0x419ac241
rand(0x7fe0d511c860, 0x7ffe38370d14, 12, 0x7ffe38370d60)          = 0x5577f8e1
rand(0x7fe0d511c860, 0x7ffe38370d14, 11, 0x7ffe38370d60)          = 0x440badfc
rand(0x7fe0d511c860, 0x7ffe38370d14, 10, 0x7ffe38370d60)          = 0x5072367
rand(0x7fe0d511c860, 0x7ffe38370d14, 9, 0x7ffe38370d60)           = 0x3804823e
rand(0x7fe0d511c860, 0x7ffe38370d14, 8, 0x7ffe38370d60)           = 0x77465f01
rand(0x7fe0d511c860, 0x7ffe38370d14, 7, 0x7ffe38370d60)           = 0x7724c67e
rand(0x7fe0d511c860, 0x7ffe38370d14, 6, 0x7ffe38370d60)           = 0x5c482a97
rand(0x7fe0d511c860, 0x7ffe38370d14, 5, 0x7ffe38370d60)           = 0x2463b9ea
rand(0x7fe0d511c860, 0x7ffe38370d14, 4, 0x7ffe38370d60)           = 0x5e884adc
rand(0x7fe0d511c860, 0x7ffe38370d14, 3, 0x7ffe38370d60)           = 0x51ead36b
rand(0x7fe0d511c860, 0x7ffe38370d14, 2, 0x7ffe38370d60)           = 0x2d517796
rand(0x7fe0d511c860, 0x7ffe38370d14, 1, 0x7ffe38370d60)           = 0x580bd78f
rand(0x7fe0d511c860, 0x7ffe38370d14, 0, 0x7ffe38370d60)           = 0x153ea438
putchar(0xfffffad1, 0x7ffe38370d14, 0x41c0e1b190a1d1d, 0x7ffe38370d60) = 209
putchar(0xfffffadb, 1, 1, 0xffffffff)                             = 219
putchar(0xfffffacc, 1, 1, 0x56210a7922a2)                         = 204
putchar(0xfffffade, 1, 1, 0x56210a7922a3)                         = 222
putchar(0xfffffac3, 1, 1, 0x56210a7922a4)                         = 195
putchar(0xfffffacc, 1, 1, 0x56210a7922a5)                         = 204
putchar(0xfffffad0, 1, 1, 0x56210a7922a6)                         = 208
putchar(0xfffffad1, 1, 1, 0x56210a7922a7)                         = 209
putchar(0xfffffacb, 1, 1, 0x56210a7922a8)                         = 203
putchar(0xfffffad1, 1, 1, 0x56210a7922a9)                         = 209
putchar(0xfffffacb, 1, 1, 0x56210a7922aa)                         = 203
putchar(0xfffffacb, 1, 1, 0x56210a7922ab)                         = 203
putchar(0xfffffad4, 1, 1, 0x56210a7922ac)                         = 212
putchar(0xfffffad1, 1, 1, 0x56210a7922ad)                         = 209
putchar(0xfffffadf, 1, 1, 0x56210a7922ae)                         = 223
putchar(0xfffffad0, 1, 1, 0x56210a7922af)                         = 208
putchar(0xfffffacc, 1, 1, 0x56210a7922b0)                         = 204
putchar(0xfffffad4, 1, 1, 0x56210a7922b1)                         = 212
putchar(0xfffffac1, 1, 1, 0x56210a7922b2)                         = 193
putchar(0xfffffad0, 1, 1, 0x56210a7922b3)                         = 208
putchar(0xfffffad9, 1, 1, 0x56210a7922b4)                         = 217
putchar(0xfffffaca, 1, 1, 0x56210a7922b5)                         = 202
putchar(0xfffffadc, 1, 1, 0x56210a7922b6)                         = 220
putchar(0xfffffadd, 1, 1, 0x56210a7922b7)                         = 221
putchar(0xfffffaca, 1, 1, 0x56210a7922b8)                         = 202
putchar(0xfffffaca, 1, 1, 0x56210a7922b9)                         = 202
putchar(0xfffffadd, 1, 1, 0x56210a7922ba)                         = 221
putchar(0xffffface, 1, 1, 0x56210a7922bb)                         = 206
putchar(0xfffffacc, 1, 1, 0x56210a7922bc)                         = 204
putchar(0xfffffad9, 1, 1, 0x56210a7922bd)                         = 217
putchar(0xfffffacb, 1, 1, 0x56210a7922be)                         = 203
putchar(0xfffffad3, 1, 1, 0x56210a7922bf)                         = 211
putchar(0xfffffac5, 1, 1, 0x56210a7922c0)                         = 197
